character,moral,physical
cersei-lannister,0.10144927536231885,0.2421875
jaime-lannister,0.49907407407407406,0.20666666666666667
daenerys-targaryen,0.687732956172284,0.1037037037037037
tyrion-lannister,0.7507246376811594,0.5433333333333333
jon-snow,0.9037037037037037,0.16521739130434782
margaery-tyrell,0.5407407407407407,0.14202898550724638
sansa-stark,0.6869565217391305,0.1962962962962963
bronn,0.5,0.527536231884058
varys,0.5037037037037037,0.6351851851851852
petyr-baelish,0.21296296296296297,0.48518518518518516
brienne-of-tarth,0.8802083333333334,0.5333333333333333
sandor-clegane-the-hound,0.5130434782608696,0.7888888888888889
arya-stark,0.662962962962963,0.3739130434782609
ned-stark,0.8898550724637682,0.39420289855072466
bran-stark,0.6925925925925925,0.48703703703703705
grey-worm,0.773736387310606,0.30333333333333334
melisandre,0.39710144927536234,0.24057971014492754
tywin-lannister,0.1925925925925926,0.5043478260869565
olenna-tyrell,0.5083212187795928,0.4954545454545455
hodor,0.95,0.6727272727272727
ramsay-bolton,0.037037037037037035,0.533286984761556
loras-tyrell,0.5266666666666666,0.2999999964678729
jorah-mormont,0.6966666666666667,0.4382956939217932
tommen-baratheon,0.5981481481481481,0.40555555555555556
davos-seaworth,0.8255208333333334,0.4985507246376812
the-high-sparrow,0.25925925925925924,0.6869565217391305
samwell-tarly,0.9277777777777778,0.5888888888888889
yara-greyjoy,0.5826086956521739,0.48405797101449277
theon-greyjoy,0.479306285918071,0.5698878432765152
stannis-baratheon,0.4251030199455492,0.5424242424242425
jaqen-hghar,0.4981481481481482,0.4356060606060606
qyburn,0.2037037037037037,0.6685185185185185
joffrey-baratheon,0.040740740740740744,0.5616295426114672
robb-stark,0.7768518518518519,0.23478260869565218
catelyn-stark,0.715200019605232,0.3611111111111111
robert-baratheon,0.5026109838568935,0.6411111619737413
gregor-clegane,0.10185185185185185,0.8796296296296297
shireen-baratheon,0.9246376811594202,0.45
missandei,0.8260869565217391,0.14666666666666667
ygritte,0.6566666666666666,0.22592592592592592
daario-naharis,0.5518518518518518,0.2299575343276515
roose-bolton,0.18333333333333332,0.575925925925926
podrick-payne,0.8202898550724638,0.4185185185185185
jeor-mormont,0.744927536231884,0.524074074074074
meera-reed,0.8203703703703704,0.362962962962963
night-king,0.040974241314512314,0.8782608695652174
ellaria-sand,0.3567708333333333,0.22666666666666666
shae,0.42407407407407405,0.25
khal-drogo,0.5,0.25555555555555554
gendry,0.7304347826086957,0.337037037037037
rickon-stark,0.6554,0.45185185185185184
grand-maester-pycelle,0.4306,0.5991
gilly,0.77935,0.5895
