title,year,time,details
The Meg,2018,,no punch!
Fate of the Furious,2017,34:20,He punches prison guard
Mechanic: Resurrection,2016,4:56,Goons at seaside cafe
Spy,2015,1:02:11,2 goons in the casino
Furious 7,2015,12:15,vs. The Rock
Expendables 3,2014,14:55,off-screen rando
Expendables 2,2012,1:05:56,punch w/ knife
Killer Elite,2011,14:12,prison guard
Blitz,2011,1:43,rando street thug
Crank 2 High Voltage,2009,4:59,bad guy doctor
Transporter 3,2008,12:15,hired goons
Crank,2006,43:18,bad guy's goons
Transporter 2,2005,2:44,garage punk
The Transporter,2002,22:54,motorcycle cop
Snatch,2000,,no punch!
"Lock, Stock, & Two Smoking Barrels",1998,1:08:05,traffic cop
