ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,PartOfCumulativeCountSeries,AgeRange,Subpopulation,PlaceOfAcquisition,DiagnosisCertainty,SourceName,CountValue
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,PENNSYLVANIA,US-PA,ERIE COUNTY,ERIE,8436,8442,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,4
Measles,14189004,Measles virus,11234,1,UNITED STATES OF AMERICA,US,NORTH CAROLINA,US-NC,DURHAM COUNTY,DURHAM,8471,8477,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,WEST VIRGINIA,US-WV,KANAWHA COUNTY,CHARLESTON,15667,15673,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,NORTH CAROLINA,US-NC,WAKE COUNTY,RALEIGH,12209,12215,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,MASSACHUSETTS,US-MA,MIDDLESEX COUNTY,LOWELL,7505,7511,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,31
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,IOWA,US-IA,MARSHALL COUNTY,MARSHALLTOWN,7722,7728,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,16
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,PENNSYLVANIA,US-PA,PHILADELPHIA COUNTY,PHILADELPHIA,2493,2499,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,21
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,KANSAS,US-KS,SHAWNEE COUNTY,TOPEKA,16290,16296,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,3
Measles,14189004,Measles virus,11234,1,UNITED STATES OF AMERICA,US,MASSACHUSETTS,US-MA,SUFFOLK COUNTY,BOSTON,1896-10-18,1896-10-24,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,OHIO,US-OH,ERIE COUNTY,SANDUSKY,3018,3024,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,NEW JERSEY,US-NJ,ESSEX COUNTY,EAST ORANGE,7428,7434,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,44
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,SAN FRANCISCO COUNTY,SAN FRANCISCO,5153,5159,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,11
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,KENTUCKY,US-KY,KENTON COUNTY,COVINGTON,13777,13783,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,NEW JERSEY,US-NJ,CAMDEN COUNTY,CAMDEN,15737,15743,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,60
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,MASSACHUSETTS,US-MA,MIDDLESEX COUNTY,MELROSE,6693,6699,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,MONTANA,US-MT,YELLOWSTONE COUNTY,BILLINGS,11698,11704,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,3
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,NORTH DAKOTA,US-ND,GRAND FORKS COUNTY,GRAND FORKS,8576,8582,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,OHIO,US-OH,CUYAHOGA COUNTY,CLEVELAND,16976,16982,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,251
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,VERMONT,US-VT,RUTLAND COUNTY,RUTLAND,14309,14315,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Measles,14189004,Measles virus,11234,0,UNITED STATES OF AMERICA,US,PENNSYLVANIA,US-PA,DAUPHIN COUNTY,STEELTON,7456,7462,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
