Country,Average GDP per capita,Average Life expectancy at birth,Average Total population,Region,Color
Kuwait,64256.41951,68.35385246,1313738.049,Middle East & North Africa,green
Luxembourg,36286.24377,72.92478689,375718.3115,Europe & Central Asia,orange
United States,28990.59574,73.5852623,235012383.7,America,yellow
Switzerland,27652.04918,75.87004918,6366298.164,Europe & Central Asia,orange
Norway,26679.49623,76.09822951,4080763.541,Europe & Central Asia,orange
Canada,23079.49098,75.245,24696114.8,America,yellow
Denmark,21603.91131,74.56686885,5024245.492,Europe & Central Asia,orange
Netherlands,21320.9518,75.85378689,13871609.03,Europe & Central Asia,orange
Iceland,21246.22459,76.66583607,232060.2459,Europe & Central Asia,orange
Germany,21237.21934,73.74055738,77965638.64,Europe & Central Asia,orange
Sweden,21224.52197,76.44691803,8276185.197,Europe & Central Asia,orange
Austria,21157.7241,73.50614754,7601006.967,Europe & Central Asia,orange
Australia,20683.0559,75.04357377,15072167.13,East Asia & Pacific,red
Belgium,20491.43049,73.90511475,9770283.508,Europe & Central Asia,orange
Saudi Arabia,20235.01885,59.8745082,12321730.79,Middle East & North Africa,green
United Kingdom,19971.35426,74.37083607,56300022.2,Europe & Central Asia,orange
France,19861.43262,74.70485246,53447020.95,Europe & Central Asia,orange
Singapore,18567.67689,71.95013115,2740106.639,East Asia & Pacific,red
Japan,18322.5318,75.30731148,111663754,East Asia & Pacific,red
Bahrain,18281.89508,65.27360656,425074.7049,Middle East & North Africa,green
Finland,18126.09328,73.37413115,4807087.918,Europe & Central Asia,orange
New Zealand,17709.20197,74.35496721,3178976.607,East Asia & Pacific,red
"Hong Kong, China",17208.25902,74.31836066,4927798.492,East Asia & Pacific,red
Italy,16756.50033,74.53029508,54678458.84,Europe & Central Asia,orange
Ireland,16350.06902,73.36870492,3405007.951,Europe & Central Asia,orange
Israel,14771.44295,73.95785246,4036412.148,Middle East & North Africa,green
Slovenia,14660.04262,71.96181967,1800556.492,Europe & Central Asia,orange
Spain,14536.40164,74.54286885,36653755.46,Europe & Central Asia,orange
Czech Rep.,14292.01672,71.83970492,9988453.164,Europe & Central Asia,orange
Greece,14118.90902,74.05740984,9623675.574,Europe & Central Asia,orange
Oman,12645.22344,59.39634426,1412261.77,Middle East & North Africa,green
Libya,12321.51918,59.98090164,3365523.426,Middle East & North Africa,green
Gabon,11767.32705,52.27909836,825698.6557,Sub-Saharan Africa,blue
Portugal,11720.54738,70.88511475,9583524.328,Europe & Central Asia,orange
Hungary,11162.95508,69.64531148,10230794.54,Europe & Central Asia,orange
Taiwan,11138.6535,70.73416667,17095833.33,East Asia & Pacific,red
Puerto Rico,11125.1355,72.83516667,3115005.417,America,yellow
Slovak Republic,10827.1777,70.97357377,4816222.607,Europe & Central Asia,orange
Venezuela,9977.657049,66.60288525,16102865.13,America,yellow
Croatia,9628.251148,70.39981967,4313291.049,Europe & Central Asia,orange
Serbia,9420.641475,68.80242623,8852512.672,Europe & Central Asia,orange
Argentina,9244.114426,69.38409836,28915741.38,America,yellow
Poland,8854.835738,70.46311475,34459613.52,Europe & Central Asia,orange
"Korea, Rep.",8323.576603,65.85129508,36527605.31,East Asia & Pacific,red
Trinidad and Tobago,8282.273934,66.29347541,1073533.016,America,yellow
Mexico,7910.269508,65.96981967,70307633.1,America,yellow
Lebanon,7663.412951,66.16391803,2854148.164,Middle East & North Africa,green
Iraq,7600.483279,59.47478689,15561342.85,Middle East & North Africa,green
Romania,7498.702459,68.56516393,20905726.25,Europe & Central Asia,orange
South Africa,7374.973607,53.88516393,31084477.11,Sub-Saharan Africa,blue
Montenegro,7355.828852,70.51314754,557270.0328,Europe & Central Asia,orange
Uruguay,7332.891803,71.01091803,2929415.475,America,yellow
Iran,7226.316885,56.14301639,43347796.34,Middle East & North Africa,green
Chile,6973.628852,67.90521311,11623818,America,yellow
Bulgaria,6640.02377,70.35881967,8232723.131,Europe & Central Asia,orange
Cuba,6302.698361,71.35006557,9415716.82,America,yellow
Jamaica,6297.034754,68.44986885,2139162.82,America,yellow
Brazil,6054.545246,62.62098361,125579880.1,America,yellow
